4.42,4.42,4.42,4.42,0.636,0.636,0.636,0.636,1.18,1.18,1.18,-0.615,-3.99,1.11,0.709,0.709,5.12,5.12,5.12,5.12,0.273,0.273,0.273,0.273,0.72,0.72,0.72,0.091,0.01,1.88,0.74,0.74,0
5.98,5.98,5.98,5.98,0.545,0.545,0.545,0.545,1.26,1.26,1.26,-0.476,-4.99,1.38,0.793,0.793,6.37,6.37,6.37,6.37,0.636,0.636,0.636,0.636,0.34,0.34,0.34,-0.065,-2.99,3.25,0.782,0.782,0
3.81,3.81,3.81,3.81,0.667,0.667,0.667,0.667,0.72,0.72,0.72,0.3,3.01,1.22,0.823,0.823,4.16,4.16,4.16,4.16,0.25,0.25,0.25,0.25,0.85,0.85,0.85,-0.2,-1.99,1,0.723,0.723,1
4.59,4.59,4.59,4.59,0.583,0.583,0.583,0.583,0.86,0.86,0.86,0.23,1.01,1.78,0.84,0.84,18.32,18.32,18.32,18.32,0.583,0.583,0.583,0.583,1.9,1.9,1.9,-0.27,0,1.78,0.807,0.807,0
5.01,5.01,5.01,5.01,0.833,0.833,0.833,0.833,0.45,0.45,0.45,0.27,1.01,1,0.807,0.807,4.78,4.78,4.78,4.78,0.455,0.455,0.455,0.455,0.55,0.55,0.55,-0.23,-3.99,1.67,0.791,0.791,1
6.21,6.21,6.21,6.21,0.615,0.615,0.615,0.615,0.28,0.28,0.28,-0.184,-4.99,2.13,0.726,0.726,4.02,4.02,4.02,4.02,0.308,0.308,0.308,0.308,0.37,0.37,0.37,0.316,5.56,0.56,0.717,0.717,0
5.79,5.79,5.79,5.79,0.615,0.615,0.615,0.615,0.41,0.41,0.41,0.476,11.01,1.11,0.87,0.87,3.52,3.52,3.52,3.52,0.538,0.538,0.538,0.538,0.29,0.29,0.29,-0.024,-0.99,2.33,0.793,0.793,1
4.27,4.27,4.27,4.27,0.769,0.769,0.769,0.769,0.81,0.81,0.81,-0.112,-1.99,1.88,0.792,0.792,4.31,4.31,4.31,4.31,0.5,0.5,0.5,0.5,1.48,1.48,1.48,0.388,-0.44,1.11,0.754,0.754,1
5.89,5.89,5.89,5.89,0.4,0.4,0.4,0.4,0.64,0.64,0.64,0.024,-1.44,1.78,0.718,0.718,5.24,5.24,5.24,5.24,0.286,0.286,0.286,0.286,1.24,1.24,1.24,-0.339,-2.99,1.89,0.746,0.746,1
4.25,4.25,4.25,4.25,0.714,0.714,0.714,0.714,1.37,1.37,1.37,-0.512,-2.99,1,0.784,0.784,5.52,5.52,5.52,5.52,0.583,0.583,0.583,0.583,0.34,0.34,0.34,0.456,11.01,1.78,0.891,0.891,0
4.44,4.44,4.44,4.44,0.545,0.545,0.545,0.545,0.85,0.85,0.85,-0.012,-1.44,1.33,0.744,0.744,6.55,6.55,6.55,6.55,0.571,0.571,0.571,0.571,0.84,0.84,0.84,0.493,4.56,1.44,0.797,0.797,0
8.57,8.57,8.57,8.57,0.643,0.643,0.643,0.643,0.82,0.82,0.82,0.161,2.01,1.11,0.846,0.846,5.93,5.93,5.93,5.93,0.5,0.5,0.5,0.5,1.15,1.15,1.15,-0.007,0.01,1.63,0.859,0.859,1
4.14,4.14,4.14,4.14,0.364,0.364,0.364,0.364,0.8,0.8,0.8,-0.004,0,1.73,0.736,0.736,3.8,3.8,3.8,3.8,0.333,0.333,0.333,0.333,1.82,1.82,1.82,0.496,0.82,1.33,0.725,0.725,0
4.58,4.58,4.58,4.58,0.733,0.733,0.733,0.733,0.8,0.8,0.8,0.282,1.01,1.11,0.787,0.787,5.91,5.91,5.91,5.91,0.538,0.538,0.538,0.538,0.83,0.83,0.83,-0.218,-1.99,1.78,0.834,0.834,0
5.24,5.24,5.24,5.24,0.583,0.583,0.583,0.583,1.11,1.11,1.11,0.447,2.01,0.89,0.767,0.767,5.08,5.08,5.08,5.08,0.533,0.533,0.533,0.533,1.11,1.11,1.11,-0.053,-0.99,2,0.783,0.783,0
9.19,9.19,9.19,9.19,0.6,0.6,0.6,0.6,0.49,0.49,0.49,0.32,5.01,3.5,0.794,0.794,4.19,4.19,4.19,4.19,0.538,0.538,0.538,0.538,0.38,0.38,0.38,0.82,14.56,2.44,0.896,0.896,1
6.69,6.69,6.69,6.69,0.417,0.417,0.417,0.417,1.76,1.76,1.76,0.71,1.9,1.45,0.718,0.718,4.17,4.17,4.17,4.17,0.312,0.312,0.312,0.312,1.99,1.99,1.99,0.21,0.9,1.73,0.712,0.712,0
3.18,3.18,3.18,3.18,0.615,0.615,0.615,0.615,1.34,1.34,1.34,0.43,0.01,1.33,0.673,0.673,6.37,6.37,6.37,6.37,0.5,0.5,0.5,0.5,0.78,0.78,0.78,-0.07,-0.99,1,0.781,0.781,0
7.9,7.9,7.9,7.9,0.562,0.562,0.562,0.562,1.29,1.29,1.29,0.099,1.01,2,0.819,0.819,5.98,5.98,5.98,5.98,0.571,0.571,0.571,0.571,1,1,1,0.599,5.56,1.56,0.855,0.855,0
5.45,5.45,5.45,5.45,0.643,0.643,0.643,0.643,0.83,0.83,0.83,0.029,-0.13,0.44,0.751,0.751,4.42,4.42,4.42,4.42,0.429,0.429,0.429,0.429,0.48,0.48,0.48,0.663,10,2.11,0.853,0.853,0
5.12,5.12,5.12,5.12,0.308,0.308,0.308,0.308,0.8,0.8,0.8,-0.232,-3.09,1.33,0.744,0.744,6.05,6.05,6.05,6.05,0.533,0.533,0.533,0.533,1.14,1.14,1.14,0.276,-0.53,1.11,0.877,0.877,1
4.59,4.59,4.59,4.59,0.571,0.571,0.571,0.571,0.83,0.83,0.83,0.163,1.01,2.78,0.888,0.888,5.01,5.01,5.01,5.01,0.467,0.467,0.467,0.467,1.14,1.14,1.14,-0.224,-1.99,1.62,0.849,0.849,0
4.78,4.78,4.78,4.78,0.667,0.667,0.667,0.667,0.42,0.42,0.42,0.36,7,1.11,0.807,0.807,3.81,3.81,3.81,3.81,0.4,0.4,0.4,0.4,0.65,0.65,0.65,-0.14,-2.99,2.11,0.809,0.809,1
4.16,4.16,4.16,4.16,0.286,0.286,0.286,0.286,0.84,0.84,0.84,0.058,1.01,1.5,0.725,0.725,3.56,3.56,3.56,3.56,0.562,0.562,0.562,0.562,1.35,1.35,1.35,0.558,1.56,1.78,0.872,0.872,0
5.79,5.79,5.79,5.79,0.6,0.6,0.6,0.6,1.67,1.67,1.67,-0.03,-2.55,0.7,0.883,0.883,4.27,4.27,4.27,4.27,0.438,0.438,0.438,0.438,1.63,1.63,1.63,-0.53,-4.55,1.6,0.814,0.814,1
4.31,4.31,4.31,4.31,0.625,0.625,0.625,0.625,0.48,0.48,0.48,-0.135,-2.99,2.5,0.816,0.816,6.21,6.21,6.21,6.21,0.438,0.438,0.438,0.438,0.28,0.28,0.28,0.365,12.56,0.67,0.861,0.861,1
4.02,4.02,4.02,4.02,0.333,0.333,0.333,0.333,0.98,0.98,0.98,0.096,-0.99,1.11,0.707,0.707,6.69,6.69,6.69,6.69,0.529,0.529,0.529,0.529,1.43,1.43,1.43,-0.404,-2.99,1.67,0.812,0.812,1
4.82,4.82,4.82,4.82,0.562,0.562,0.562,0.562,1.69,1.69,1.69,-0.336,-2.99,1.5,0.86,0.86,4.25,4.25,4.25,4.25,0.471,0.471,0.471,0.471,1.05,1.05,1.05,0.164,-0.44,1.67,0.867,0.867,1
4.19,4.19,4.19,4.19,0.529,0.529,0.529,0.529,0.9,0.9,0.9,-0.343,-4,2,0.873,0.873,5.24,5.24,5.24,5.24,0.294,0.294,0.294,0.294,0.3,0.3,0.3,-0.16,-3.99,2,0.689,0.689,1
9.19,9.19,9.19,9.19,0.588,0.588,0.588,0.588,0.3,0.3,0.3,0.303,3.56,0.89,0.863,0.863,3.52,3.52,3.52,3.52,0.471,0.471,0.471,0.471,0.91,0.91,0.91,-0.471,-4.99,1.33,0.767,0.767,0
